Name,Location,Mileage,Engine,Seats
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,17.0,1591.0,5.0
Maruti Alto LXi BSIII,Chennai,19.7,796.0,5.0
BMW 1 Series 118d Base,Coimbatore,20.58,1995.0,5.0
Honda Jazz 1.2 V CVT i VTEC,Mumbai,19.0,1199.0,5.0
Honda Civic 2006-2010 1.8 V MT,Delhi,13.5,1799.0,5.0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,19.27,2143.0,5.0
Honda Amaze SX i-DTEC,Kolkata,25.8,1498.0,5.0
Maruti Swift VVT VXI,Kochi,22.0,1197.0,5.0
Toyota Fortuner 3.0 Diesel,Coimbatore,11.5,2982.0,7.0
Chevrolet Beat LT Option,Pune,18.6,1199.0,5.0
Skoda Rapid 1.5 TDI Elegance,Chennai,21.14,1498.0,5.0
Maruti Ciaz 1.4 Alpha,Kochi,20.73,1373.0,5.0
Audi RS5 Coupe,Mumbai,11.05,2894.0,4.0
BMW 3 Series Luxury Line,Mumbai,21.76,1995.0,5.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,17.11,1968.0,5.0
Maruti Swift VDI,Chennai,22.9,1248.0,5.0
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,7.81,5461.0,5.0
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,21.66,1498.0,5.0
Skoda Superb Elegance 2.0 TDI CR AT,Pune,17.2,1968.0,5.0
Hyundai EON Magna Plus,Kochi,21.1,814.0,5.0
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,22.07,1199.0,5.0
Datsun GO NXT,Kolkata,20.63,1198.0,5.0
Honda Brio S MT,Kolkata,19.4,1198.0,5.0
Mercedes-Benz B Class B180,Delhi,14.8,1595.0,5.0
Honda City i DTEC V,Kochi,26.0,1498.0,5.0
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,12.99,2494.0,7.0
Maruti Swift VXI Optional,Ahmedabad,20.4,1197.0,5.0
Mahindra XUV500 W8 2WD,Mumbai,15.1,2179.0,7.0
Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,22.7,1498.0,5.0
Toyota Fortuner 4x2 Manual,Mumbai,13.0,2982.0,7.0
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,21.5,1498.0,5.0
Ford Figo Diesel Titanium,Jaipur,20.0,1399.0,5.0
BMW X5 xDrive 30d,Mumbai,15.3,2993.0,5.0
Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,19.27,2143.0,5.0
Honda Brio V MT,Bangalore,19.4,1198.0,5.0
Hyundai i10 Magna 1.2,Delhi,20.36,1197.0,5.0
Mercedes-Benz GLC 220,Bangalore,17.9,2143.0,5.0
Hyundai Grand i10 1.2 Kappa Asta,Kolkata,18.9,1197.0,5.0
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,17.68,1968.0,5.0
Volkswagen Vento Petrol Highline AT,Mumbai,14.4,1598.0,5.0
Mini Countryman Cooper D,Jaipur,16.6,1998.0,5.0
Hyundai i20 Asta 1.4 CRDi,Bangalore,22.54,1396.0,5.0
Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,17.68,1968.0,5.0
Chevrolet Beat Diesel LT,Jaipur,25.44,936.0,5.0
Skoda Superb Elegance 1.8 TSI AT,Kochi,13.7,1798.0,5.0
Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,17.8,1399.0,5.0
BMW 5 Series 520d Luxury Line,Hyderabad,22.48,1995.0,5.0
Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,12.9,1598.0,5.0
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,22.07,1199.0,5.0
Renault Lodgy 110PS RxZ 8 Seater,Mumbai,19.98,1461.0,8.0
Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,13.0,2143.0,5.0
Maruti Baleno Alpha,Kochi,21.4,1197.0,5.0
Hyundai Verna 1.6 SX,Delhi,22.32,1582.0,5.0
Hyundai i10 Magna 1.1,Kochi,19.81,1086.0,5.0
Mahindra Scorpio 1.99 S10 4WD,Kochi,15.4,1997.0,7.0
Land Rover Range Rover 2.2L Dynamic,Coimbatore,12.7,2179.0,5.0
Ford Figo Diesel ZXI,Chennai,20.0,1399.0,5.0
Maruti Ertiga ZDI,Mumbai,25.47,1248.0,7.0
Honda City 1.5 GXI,Ahmedabad,0.0,1497.0,5.0
Honda Amaze S i-Dtech,Kolkata,25.8,1498.0,5.0
Hyundai i10 Magna,Jaipur,20.36,1197.0,5.0
Honda Amaze S i-Dtech,Kolkata,25.8,1498.0,5.0
Skoda Laura Ambiente,Hyderabad,17.5,1896.0,5.0
Renault Duster 85PS Diesel RxL,Delhi,19.87,1461.0,5.0
Mahindra NuvoSport N6,Chennai,17.45,1493.0,7.0
Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,24.3,1248.0,5.0
Hyundai i20 Asta Option 1.2,Kochi,18.6,1197.0,5.0
Skoda Fabia 1.4 MPI Ambiente,Jaipur,14.7,1390.0,5.0
Tata Indigo eCS GLX,Pune,15.64,1193.0,5.0
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Delhi,15.73,1968.0,5.0
Skoda Octavia Elegance 1.8 TSI AT,Mumbai,14.7,1798.0,5.0
Toyota Etios Liva GD SP,Delhi,23.59,1364.0,5.0
Maruti Swift 1.3 VXi,Kolkata,16.1,1497.0,5.0
Mercedes-Benz B Class B180,Kochi,14.8,1595.0,5.0
Honda Amaze S Diesel,Kolkata,27.4,1498.0,5.0
Hyundai Verna 1.6 SX,Jaipur,22.32,1582.0,5.0
Renault Duster 85PS Diesel RxL Optional,Mumbai,20.46,1461.0,5.0
Hyundai Creta 1.6 VTVT S,Delhi,15.29,1591.0,5.0
Maruti Wagon R AMT VXI,Mumbai,20.51,998.0,5.0
Mercedes-Benz New C-Class C250 Avantgarde,Kolkata,11.74,1796.0,5.0
Audi A8 L 3.0 TDI quattro,Delhi,11.8,2967.0,5.0
Hyundai i10 Magna 1.1,Pune,19.81,1086.0,5.0
Skoda Rapid 1.6 MPI AT Style Black Package,Mumbai,14.3,1598.0,5.0
Skoda Superb Style 1.8 TSI AT,Hyderabad,14.67,1798.0,5.0
Hyundai i20 Active 1.2 SX,Coimbatore,17.19,1197.0,5.0
Honda Amaze VX i-DTEC,Kolkata,25.8,1498.0,5.0
Maruti Wagon R LXI,Chennai,18.9,998.0,5.0
Mahindra Verito 1.5 D4 BSIV,Hyderabad,21.03,1461.0,5.0
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,19.27,2143.0,5.0
Maruti Wagon R VXI,Kolkata,22.5,998.0,5.0
Nissan Terrano XV Premium 110 PS Anniversary Edition,Coimbatore,19.01,1461.0,5.0
Mini Cooper Convertible S,Kochi,16.82,1998.0,4.0
Ford Figo Diesel,Bangalore,0.0,1498.0,5.0
Tata Indica V2 DLS BSII,Jaipur,17.2,1396.0,5.0
Chevrolet Beat LT,Kochi,18.6,1199.0,5.0
Volkswagen Polo Diesel Comfortline 1.2L,Mumbai,22.07,1199.0,5.0
Maruti Swift ZDi,Hyderabad,22.9,1248.0,5.0
Ford Figo Diesel EXI,Kolkata,20.0,1399.0,5.0
Toyota Innova Crysta 2.8 GX AT,Kochi,11.36,2755.0,7.0
Hyundai Santa Fe 4x4 AT,Mumbai,11.72,2199.0,7.0
Honda City i-VTEC V,Kolkata,17.4,1497.0,5.0
Hyundai i20 1.2 Magna Executive,Kochi,18.6,1197.0,5.0
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Kochi,19.27,2143.0,5.0
Chevrolet Beat Diesel LT,Mumbai,25.44,936.0,5.0
Hyundai i20 Sportz 1.4 CRDi,Kochi,22.54,1396.0,5.0
Toyota Innova 2.5 Z Diesel 7 Seater,Coimbatore,12.99,2494.0,7.0
Maruti Ertiga VDI,Chennai,20.77,1248.0,7.0
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,12.8,2494.0,7.0
Honda City i VTEC V,Kochi,17.8,1497.0,5.0
BMW X1 sDrive20d,Ahmedabad,17.05,1995.0,5.0
Hyundai Grand i10 CRDi Era,Mumbai,24.0,1120.0,5.0
Maruti Ciaz 1.3 Alpha,Chennai,28.09,1248.0,5.0
Skoda Rapid Leisure 1.6 TDI MT,Kolkata,20.5,1598.0,5.0
Hyundai Accent CRDi,Kochi,13.1,1493.0,5.0
Volkswagen Polo GT 1.5 TDI,Jaipur,19.91,1498.0,5.0
Honda Jazz 1.2 VX i VTEC,Coimbatore,18.7,1199.0,5.0
Hyundai i10 Era,Jaipur,19.81,1086.0,5.0
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,Kochi,16.38,1995.0,5.0
Toyota Innova Crysta 2.4 ZX MT,Pune,13.68,2393.0,7.0
Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,Jaipur,19.7,796.0,5.0
Maruti Swift VXI BSIV,Coimbatore,20.4,1197.0,5.0
Hyundai Grand i10 Magna,Mumbai,18.9,1197.0,5.0
Maruti Swift VDI,Pune,22.9,1248.0,5.0
Hyundai Verna CRDi 1.6 SX,Hyderabad,22.0,1582.0,5.0
Hyundai i20 1.2 Sportz,Mumbai,17.0,1197.0,5.0
Mercedes-Benz GLE 350d,Coimbatore,11.57,2987.0,5.0
Mercedes-Benz New C-Class C 220 CDI CLASSIC,Bangalore,15.8,2148.0,5.0
Maruti Ritz ZDi,Hyderabad,23.2,1248.0,5.0
Hyundai Creta 1.6 CRDi SX,Bangalore,19.67,1582.0,5.0
Maruti A-Star Vxi,Pune,19.0,998.0,5.0
Renault Duster 110PS Diesel RXZ Option,Delhi,19.64,1461.0,5.0
Fiat Grande Punto 1.3 Emotion Pack (Diesel),Delhi,17.8,1248.0,5.0
BMW X3 xDrive30d M Sport,Coimbatore,16.55,2993.0,5.0
Hyundai i10 Sportz,Bangalore,20.36,1197.0,5.0
Toyota Innova 2.5 G4 Diesel 7-seater,Pune,12.8,2494.0,7.0
Maruti Zen VXI BSII,Mumbai,17.3,993.0,5.0
Maruti Swift VDI,Hyderabad,28.4,1248.0,5.0
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,Pune,12.05,2179.0,8.0
Tata Zest Quadrajet 1.3 75PS XE,Pune,22.95,1248.0,5.0
Ford EcoSport 1.0 Ecoboost Titanium Plus,Mumbai,18.88,999.0,5.0
Maruti Swift Dzire ZDI,Jaipur,23.4,1248.0,5.0
Maruti Alto 800 LXI,Kochi,22.74,796.0,5.0
Honda City 1.5 S MT,Jaipur,17.0,1497.0,5.0
Audi Q7 3.0 TDI Quattro Technology,Kochi,12.07,2967.0,7.0
Skoda Laura 1.9 TDI AT Ambiente,Mumbai,17.0,1896.0,5.0
Hyundai Verna 1.6 SX VTVT (O),Kochi,17.1,1591.0,5.0
Honda City 1.5 V AT,Jaipur,16.8,1497.0,5.0
Hyundai i20 Magna Optional 1.4 CRDi,Kolkata,21.9,1396.0,5.0
Hyundai i20 Sportz AT 1.4,Coimbatore,15.0,1396.0,5.0
Volkswagen Vento Diesel Highline,Hyderabad,20.54,1598.0,5.0
Honda City i VTEC VX,Ahmedabad,17.4,1497.0,5.0
Tata Zest Quadrajet 1.3 75PS XE,Pune,22.95,1248.0,5.0
BMW 5 Series 2003-2012 520d,Pune,18.48,1995.0,5.0
Maruti Wagon R LXI Minor,Delhi,18.9,1061.0,5.0
Honda Jazz VX,Delhi,18.2,1199.0,5.0
Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,Coimbatore,15.0,1896.0,5.0
Hyundai i10 Magna 1.2,Hyderabad,20.36,1197.0,5.0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,19.27,2143.0,5.0
Hyundai i10 Magna 1.2 iTech SE,Pune,20.36,1197.0,5.0
Toyota Innova Crysta 2.4 ZX MT,Chennai,13.68,2393.0,7.0
Audi A6 2011-2015 2.0 TDI Technology,Kochi,17.68,1968.0,5.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,Hyderabad,12.99,2494.0,7.0
Volkswagen Polo Petrol Trendline 1.2L,Mumbai,16.47,1198.0,5.0
Maruti Alto K10 LXI,Hyderabad,20.92,998.0,5.0
Honda City i-VTEC CVT ZX,Mumbai,18.0,1497.0,5.0
Tata Indigo LX,Coimbatore,17.0,1405.0,5.0
Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,17.68,1968.0,5.0
Mercedes-Benz GLA Class 200 CDI SPORT,Delhi,17.9,2143.0,5.0
Maruti Celerio VXI AT,Hyderabad,23.1,998.0,5.0
Mercedes-Benz GLE 250d,Hyderabad,17.9,2143.0,5.0
Land Rover Range Rover HSE Dynamic,Delhi,12.7,2179.0,5.0
Volkswagen Vento Diesel Trendline,Hyderabad,20.54,1598.0,5.0
Maruti Omni 8 Seater BSIV,Hyderabad,14.0,796.0,5.0
Honda Brio 1.2 VX MT,Kochi,18.5,1198.0,5.0
Tata Sumo Delux,Hyderabad,14.07,2956.0,7.0
Tata Indica Vista Aura 1.3 Quadrajet,Pune,18.0,1248.0,5.0
Maruti Wagon R LXI BS IV,Delhi,18.9,998.0,5.0
Mahindra XUV500 W8 4WD,Hyderabad,16.0,2179.0,7.0
Tata Indigo LS Dicor,Pune,17.1,1396.0,5.0
Maruti Ertiga Paseo VXI,Mumbai,16.02,1373.0,7.0
Honda Accord 2.4 A/T,Mumbai,11.7,2354.0,5.0
Maruti Swift Dzire VDi,Kolkata,19.3,1248.0,5.0
Ford Fiesta EXi 1.4 TDCi Ltd,Hyderabad,17.8,1399.0,5.0
Honda City ZX GXi,Kolkata,17.7,1497.0,5.0
Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,17.68,1968.0,5.0
BMW 6 Series 640d Gran Coupe,Mumbai,9.52,2993.0,4.0
Audi Q7 45 TDI Quattro Technology,Coimbatore,14.75,2967.0,7.0
Hyundai i20 1.4 CRDi Asta,Pune,23.0,1396.0,5.0
Hyundai i10 Sportz AT,Bangalore,16.95,1197.0,5.0
Honda Jazz 1.2 V CVT i VTEC,Kochi,19.0,1199.0,5.0
Maruti Swift VDI BSIV,Hyderabad,25.2,1248.0,5.0
Hyundai i20 Asta 1.2,Pune,18.5,1197.0,5.0
Volkswagen Polo Petrol Comfortline 1.2L,Kolkata,16.47,1198.0,5.0
Maruti Alto LXi,Ahmedabad,19.7,796.0,5.0
Toyota Corolla H4,Chennai,11.3,1794.0,5.0
Maruti Alto LXi,Chennai,19.7,796.0,5.0
Tata Manza ELAN Quadrajet BS IV,Pune,21.12,1248.0,5.0
Maruti Alto LXi,Pune,19.7,796.0,5.0
Skoda Octavia Ambition Plus 2.0 TDI AT,Kolkata,19.3,1968.0,5.0
Toyota Corolla H4,Kolkata,11.3,1794.0,5.0
Hyundai i20 Asta Option 1.2,Coimbatore,18.6,1197.0,5.0
Maruti Vitara Brezza LDi,Chennai,24.3,1248.0,5.0
Honda City 1.5 V MT,Delhi,17.0,1497.0,5.0
Tata Indica Vista Aqua 1.3 Quadrajet,Hyderabad,18.0,1248.0,5.0
Honda Amaze S i-Dtech,Kolkata,25.8,1498.0,5.0
Hyundai EON D Lite Plus,Coimbatore,21.1,814.0,5.0
BMW 3 Series Luxury Line,Kochi,21.76,1995.0,5.0
Hyundai Verna 1.6 SX,Bangalore,22.32,1582.0,5.0
Tata Manza Club Class Quadrajet90 LS,Ahmedabad,21.02,1248.0,5.0
Skoda Octavia RS,Jaipur,14.45,1984.0,5.0
Maruti Alto K10 VXI,Pune,24.07,998.0,5.0
Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,22.7,1498.0,5.0
Chevrolet Spark 1.0 LS,Kolkata,18.0,995.0,5.0
Jaguar XF 2.0 Diesel Portfolio,Hyderabad,19.33,1999.0,5.0
Honda CR-V RVi MT,Jaipur,13.1,1997.0,5.0
Skoda Superb L&K 1.8 TSI AT,Kochi,14.67,1798.0,5.0
Hyundai i10 Magna 1.2,Chennai,20.36,1197.0,5.0
Maruti Swift LDI,Delhi,22.9,1248.0,5.0
Maruti Swift Dzire VXi AT,Mumbai,18.5,1197.0,5.0
Nissan Micra Diesel XV,Chennai,23.08,1461.0,5.0
Maruti Swift Dzire Tour LDI,Mumbai,23.4,1248.0,5.0
Ford Fiesta Classic 1.4 Duratorq CLXI,Pune,17.8,1399.0,5.0
Maruti Zen LX,Kolkata,17.3,993.0,5.0
Mini Clubman Cooper S,Pune,13.8,1998.0,5.0
Toyota Etios GD,Kolkata,23.59,1364.0,5.0
Maruti Alto 800 2016-2019 LXI,Kolkata,24.7,796.0,5.0
Maruti Alto VXi,Bangalore,18.9,796.0,5.0
BMW X5 3.0d,Bangalore,11.0,2993.0,5.0
Nissan Teana XV,Mumbai,11.07,2496.0,5.0
Hyundai Grand i10 AT Asta,Coimbatore,18.9,1197.0,5.0
Maruti Vitara Brezza ZDi Plus,Hyderabad,24.3,1248.0,5.0
Audi Q7 3.0 TDI Quattro Premium Plus,Mumbai,12.07,2967.0,7.0
Mercedes-Benz GLA Class 200 CDI,Chennai,17.9,2143.0,5.0
Maruti 800 AC,Chennai,16.1,796.0,4.0
Renault Duster 85PS Diesel RxL,Chennai,20.45,1461.0,5.0
Toyota Corolla Altis D-4D GL,Mumbai,21.43,1364.0,5.0
Mercedes-Benz New C-Class 220,Chennai,15.8,2148.0,5.0
Maruti Ritz VDi,Hyderabad,21.1,1248.0,5.0
Honda BRV i-VTEC V CVT,Kochi,16.0,1497.0,7.0
Hyundai Xcent 1.1 CRDi Base,Kochi,24.4,1120.0,5.0
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,Jaipur,14.21,2143.0,5.0
Mercedes-Benz B Class B180,Kochi,14.8,1595.0,5.0
Mercedes-Benz E-Class 2015-2017 E250 Edition E,Bangalore,15.0,2143.0,5.0
Honda City i VTEC VX Option,Mumbai,17.8,1497.0,5.0
Honda City 1.5 S MT,Chennai,17.0,1497.0,5.0
Hyundai Verna Transform VTVT,Pune,16.2,1599.0,5.0
Jaguar XE Portfolio,Mumbai,13.5,1999.0,5.0
Honda Amaze S i-Vtech,Delhi,18.0,1198.0,5.0
Mini Cooper Convertible 1.6,Bangalore,18.86,1598.0,4.0
Mercedes-Benz S Class 2005 2013 S 350 CDI,Coimbatore,13.5,2987.0,5.0
Hyundai EON Magna Plus,Chennai,21.1,814.0,5.0
Maruti Wagon R VXI BS IV,Kolkata,20.51,998.0,5.0
